tokenId, hat, fur, clothes, eyes, earring, mouth, background, trait-count, color-match, mouth-match, zeros, nips
372,8,2,30,0,0,4,3,6,3-color,regular,2,covered
373,5,10,4,16,0,1,2,6,3-color,regular,1,covered
374,11,1,0,3,0,7,0,5,N/A,regular,3,magic monk
375,21,0,4,13,0,14,1,6,3-color,regular,2,covered
376,9,0,10,6,3,9,1,7,3-color,regular,1,covered
377,0,12,1,0,0,0,0,5,N/A,regular,5,covered
378,1,1,14,8,0,16,4,6,4-color,regular,1,covered
379,9,10,1,14,0,3,1,6,4-color,regular,1,covered
380,0,1,17,18,2,1,7,6,N/A,regular,1,covered
381,0,5,33,8,0,2,5,5,N/A,regular,2,covered
382,7,3,17,13,0,28,7,6,4-color,regular,1,covered
383,16,2,7,1,4,0,2,7,3-color,snout-match,1,covered
384,1,6,0,0,5,0,5,6,N/A,snout-match,3,magic monk
385,18,3,22,8,0,1,3,6,3-color,regular,1,covered
386,6,1,10,1,0,1,2,6,3-color,regular,1,covered
387,12,9,0,7,4,0,5,6,N/A,snout-match,2,magic monk
388,0,2,33,4,0,1,2,5,N/A,regular,2,covered
389,4,1,28,1,0,0,3,6,3-color,snout-match,2,covered
390,11,4,26,8,4,13,1,7,4-color,regular,0,covered
391,8,9,23,14,3,21,2,7,4-color,regular,0,covered
392,34,3,11,2,0,2,3,6,4-color,regular,1,covered
393,0,0,0,3,0,5,2,4,N/A,regular,4,naked
394,6,7,0,8,2,1,4,6,N/A,regular,1,magic monk
395,3,4,2,12,0,0,5,6,3-color,snout-match,2,covered
396,18,5,35,10,0,18,3,6,4-color,snout-match,1,covered
397,32,4,0,7,4,4,0,6,N/A,regular,2,magic monk
398,27,3,10,8,0,0,0,6,4-color,snout-match,3,covered
399,3,14,0,3,1,1,4,6,N/A,regular,1,magic monk
400,14,2,40,2,0,4,2,6,3-color,regular,1,covered
401,11,3,0,0,0,10,2,5,N/A,snout-match,3,magic monk
402,1,0,14,20,6,2,4,7,4-color,regular,1,covered
403,35,4,0,10,0,0,3,5,N/A,snout-match,3,magic monk
404,11,1,20,2,0,1,6,6,4-color,regular,1,covered
405,6,8,0,5,0,23,6,5,N/A,snoutless,2,magic monk
406,3,1,0,0,3,7,2,6,N/A,regular,2,magic monk
407,20,2,0,10,6,3,1,6,N/A,regular,1,magic monk
408,2,7,7,12,0,27,5,6,3-color,regular,1,covered
409,25,1,12,7,0,16,7,6,3-color,regular,1,covered
410,32,9,0,2,0,13,1,5,N/A,regular,2,magic monk
411,0,2,0,9,5,0,0,5,N/A,snout-match,4,tagged
412,8,10,38,20,0,8,3,6,3-color,regular,1,covered
413,0,11,1,0,2,15,7,6,N/A,regular,2,covered
414,0,3,26,20,0,5,5,5,N/A,regular,2,covered
415,8,7,14,11,1,1,6,7,3-color,regular,0,covered
416,0,0,6,4,2,9,5,6,N/A,regular,2,covered
417,22,3,24,0,0,15,3,6,2-color w/ matching solid color hat,regular,2,covered
418,14,7,33,7,0,0,2,6,4-color,snout-match,2,covered
419,17,3,4,2,0,17,0,6,3-color,regular,2,covered
420,14,0,37,13,3,0,6,7,4-color,snoutless,2,covered
421,1,13,41,22,0,1,5,6,4-color,regular,1,covered
422,5,1,4,1,1,3,2,7,3-color,regular,0,covered
423,1,5,14,0,0,0,0,6,4-color,snout-match,4,covered
424,33,15,10,0,0,20,3,6,4-color,regular,2,covered
425,3,0,12,1,0,0,5,6,4-color,snoutless,3,covered
426,29,7,7,8,0,3,5,6,2-color w/ matching solid color hat,snoutless,1,covered
427,2,6,5,2,0,9,6,6,3-color,regular,1,covered
428,8,1,33,19,0,5,5,6,3-color,regular,1,covered
429,29,4,0,19,3,2,5,6,N/A,regular,1,magic monk
430,16,3,11,13,0,1,4,6,4-color,regular,1,covered
431,12,0,2,6,0,22,4,6,3-color,regular,2,covered
432,10,10,6,5,6,11,2,7,3-color,regular,0,covered
433,30,15,4,9,0,3,4,6,3-color,regular,1,covered
434,0,6,0,20,0,9,1,4,N/A,regular,3,naked
435,10,2,0,19,0,1,5,5,N/A,regular,2,magic monk
436,0,13,0,20,3,0,3,5,N/A,regular,3,tagged
437,0,5,0,1,0,14,7,4,N/A,regular,3,naked
438,0,6,3,6,0,0,2,5,N/A,snout-match,3,covered
439,16,3,26,0,0,11,7,6,3-color,regular,2,covered
440,0,2,13,0,3,6,5,6,N/A,regular,2,covered
441,9,2,5,6,0,15,6,6,4-color,regular,1,covered
